,Cruise,Local Date,Station,Gear,Haul,Start Time (UTC),Start Lat,Start Long,End Time (UTC),End Lat,End Long,Station Depth,Quantitative,Q=1 NQ=0,Volume,Fish Split,Invert Split,Wire Out,Trawl Notes,Catch Notes
118,AMBON 2017,21-Aug-17,BBL-3,PSBTA,91,5:57:01,69.55025,-164.3961,6:02:28,69.55028,-164.4039,27.0,Q,1,30 gal,100,100,110m ,,Large purple sea stars (Asterias amurensis)
119,AMBON 2017,21-Aug-17,BBL-4,IKMT,30,9:00:11,69.63789,-164.8127,9:14:22,69.65034,-164.7976,32.0,Q,1,1 gal,100,0,130m,,"several large jellies, saffron cod, not much else "
120,AMBON 2017,21-Aug-17,BBL-4,PSBTA,92,9:52:46,69.64775,-164.8045,9:55:15,69.64662,-164.8056,32.0,Q,1,4 gal,100,200,115m,"3 min, chains on ","lots of fish, a few sand dollars, shrimps, sea stars "
121,AMBON 2017,21-Aug-17,BBL-5,PSBTA,93,12:30:50,69.73531,-165.2136,12:35:44,69.73312,-165.2118,36.0,Q,1,25 gal,100,50 except sand dollars at 1/8,150m ,lots of sand (dolla dolla bills),
122,AMBON 2017,21-Aug-17,BBL-6,PSBTA,94,15:27:26,69.82861,-165.6289,15:39:39,69.8246,-165.6282,41.0,Q,1,15 gal,100,100,160m,"chain on, 3 min tow","sand dollars, crabs"
123,AMBON 2017,21-Aug-17,BBL-7,IKMT,31,21:51:59,69.9245,-166.0449,22:07:46,69.9117,-166.0627,45.0,Q,1,2 cups,100,0,150m,"some cod, sculpins",
124,AMBON 2017,21-Aug-17,BBL-7,PSBTA,95,22:32:25,69.91811,-166.0448,22:35:16,69.91811,-166.0485,45.0,Q,1,6 gal,100,100,160m,"clean, lots of snow crab and hermit crabs",
125,AMBON 2017,22-Aug-17,BBL-8,PSBTA,96,1:38:21,70.00562,-166.4812,1:41:38,70.00571,-166.4763,47.0,Q,1,7 gal,100,50,160m,"lots of sponges, huge nudibranch, snow and hermit crabs",
126,AMBON 2017,22-Aug-17,BBL-9,PSBTA,97,4:48:15,70.09601,-166.908,4:51:46,70.09778,-166.9085,47.0,Q,1,10 gal,100,50,165m,,"blue king crab, basket stars, sponges, anenomes"
127,AMBON 2017,22-Aug-17,BBL-10,IKMT,32,7:26:49,70.20021,-167.3646,7:42:47,70.18484,-167.3635,51.0,Q,1,1 qt ,100,0,150m,,lots of jellies and ctenophores
128,AMBON 2017,22-Aug-17,BBL-10,PSBTA,98,8:32:05,70.19445,-167.3625,8:36:19,70.19232,-167.3638,51.0,Q,1,5 gal,100,100,180m ,"Started with 170m, added 10","crabs, large sea stars"
129,AMBON 2017,22-Aug-17,BBL-11,PSBTA,99,11:27:49,70.28123,-167.8152,11:32:25,70.27863,-167.815,49.0,Q,1,5 gal,100,100,180m ,clean haul,"Crabs, ascidians, gersimia"
130,AMBON 2017,22-Aug-17,BBL-12,PSBTA,100,14:16:56,70.36958,-168.2808,14:19:51,70.37035,-168.2776,45.0,Q,1,4 gal,100,100,180m ,"3 min tow, small but clean","crabs, shrimps, fish"
